"Group","Setting"
"ApplicationManagement","BlockNonAdminUserInstall"
"Bluetooth","SetMinimumEncryptionKeySize"
"DeliveryOptimization","DOCacheHostSource"
"DeliveryOptimization","DOMaxBackgroundDownloadBandwidth"
"DeliveryOptimization","DOMaxForegroundDownloadBandwidth"
"DisplayEnhancement","AutobrightnessLuxToNitsCurve"
"DisplayEnhancement","DefaultAdaptiveColorAdaptationStrength"
"DisplayEnhancement","DefaultBatterySaverBrightnessMultiplier"
"DisplayEnhancement","DefaultBrightnessSliderPercentage"
"DisplayEnhancement","DefaultDimBrightnessMultiplier"
"DisplayEnhancement","IsAdaptiveColorOnByDefault"
"DisplayEnhancement","IsAutobrightnessOnByDefault"
"DisplayEnhancement","ShouldStopTransitionDuringHandsOnDisplay"
"Education","AllowGraphingCalculator"
"Privacy","LetAppsAccessBackgroundSpatialPerception"
"Privacy","LetAppsAccessBackgroundSpatialPerception_ForceAllowTheseApps"
"Privacy","LetAppsAccessBackgroundSpatialPerception_ForceDenyTheseApps"
"Privacy","LetAppsAccessBackgroundSpatialPerception_UserInControlOfTheseApps"
"TextInput","ConfigureJapaneseIMEVersion"
"TextInput","ConfigureSimplifiedChineseIMEVersion"
"TextInput","ConfigureTraditionalChineseIMEVersion"
"Update","TargetReleaseVersion"
"_Groups","bar"
"_Groups\bar","Bluetooth"
"_Groups\bar\Bluetooth","AllowPromptedProximalConnections"
"_Groups\bar\Bluetooth","ServicesAllowedList"
"_Groups\bar","Camera"
"_Groups\bar\Camera","AllowCamera"
"_Groups","foo"
"_Groups\foo","Bluetooth"
"_Groups\foo\Bluetooth","AllowPromptedProximalConnections"
"_Groups\foo\Bluetooth","ServicesAllowedList"
"_Groups\foo","Camera"
"_Groups\foo\Camera","AllowCamera"
"_Groups","fourth"
"_Groups\fourth","Camera"
"_Groups\fourth\Camera","AllowCamera"
"_Groups","july"
"_Groups\july","Camera"
"_Groups\july\Camera","AllowCamera"
"_Groups","UTCPartnerPrograms"
"_Groups\UTCPartnerPrograms","System"
"_Groups\UTCPartnerPrograms\System","AllowCommercialDataPipeline"
