"Group","Setting"
"AppHVSI","AllowVirtualGPU"
"AppHVSI","EnableHVSIOffice"
"AppHVSI","SaveFilesToHost"
"ApplicationDefaults","EnableAppUriHandlers"
"ApplicationManagement","MSIAllowUserControlOverInstall"
"ApplicationManagement","MSIAlwaysInstallWithElevatedPrivileges"
"AppRuntime","AllowMicrosoftAccountsToBeOptional"
"Authentication","EnableFidoSignon"
"Bluetooth","AllowPromptedProximalConnections"
"Browser","AllowConfigurationUpdateForBooksLibrary"
"Browser","EnableExtendedBooksTelemetry"
"Browser","PreventTabPreloading"
"Browser","UseSharedFolderForBooks"
"Connectivity","AllowPhonePCLinking"
"ControlPolicyConflict","MDMWinsOverGP"
"CredentialsDelegation","RemoteHostAllowsDelegationOfNonExportableCredentials"
"DeliveryOptimization","DODelayBackgroundDownloadFromHttp"
"DeliveryOptimization","DODelayForegroundDownloadFromHttp"
"DeliveryOptimization","DOGroupIdSource"
"DeliveryOptimization","DOPercentageMaxBackgroundBandwidth"
"DeliveryOptimization","DOPercentageMaxForegroundBandwidth"
"DeliveryOptimization","DORestrictPeerSelectionBy"
"DeliveryOptimization","DOSetHoursToLimitBackgroundDownloadBandwidth"
"DeliveryOptimization","DOSetHoursToLimitForegroundDownloadBandwidth"
"DeviceLock","PreventEnablingLockScreenCamera"
"Display","DisablePerProcessDpiForApps"
"Display","EnablePerProcessDpi"
"Display","EnablePerProcessDpiForApps"
"Experience","AllowWindowsSpotlightOnSettings"
"FileExplorer","TurnOffDataExecutionPreventionForExplorer"
"FileExplorer","TurnOffHeapTerminationOnCorruption"
"InternetExplorer","InternetZoneAllowVBScriptToRunInInternetExplorer"
"InternetExplorer","LockedDownIntranetJavaPermissions"
"InternetExplorer","RestrictedSitesZoneAllowVBScriptToRunInInternetExplorer"
"InternetExplorer","SecurityZonesUseOnlyMachineSettings"
"KioskBrowser","BlockedUrlExceptions"
"KioskBrowser","BlockedUrls"
"KioskBrowser","DefaultURL"
"KioskBrowser","EnableEndSessionButton"
"KioskBrowser","EnableHomeButton"
"KioskBrowser","EnableNavigationButtons"
"KioskBrowser","RestartOnIdleTime"
"knobs","Power/EnergyEstimationEngine/CPU/EfficiencyClass/0/PowerParameters/PowerEnvelope"
"knobs","Power/EnergyEstimationEngine/Display/DisplayBacklightPowerFloor"
"knobs","Power/EnergyEstimationEngine/Display/DisplayBacklightPowerGradient"
"knobs","Power/EnergyEstimationEngine/Display/DisplayBacklightPowerQDenominator"
"knobs","Power/EnergyEstimationEngine/Display/DisplayBacklightPowerQNumerator"
"knobs","Power/EnergyEstimationEngine/Display/DisplayPanelPowerAreaFactor"
"knobs","Power/EnergyEstimationEngine/Display/DisplayPanelPowerDpiFactor"
"knobs","Power/EnergyEstimationEngine/Display/DisplayPanelPowerFloor"
"knobs","Power/EnergyEstimationEngine/Display/DisplayPanelPowerVsyncDelta"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2G/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2G/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2G/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2GTransitional/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2GTransitional/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/2GTransitional/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/3G/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/3G/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/3G/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/4G/TailDurationMs"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/4G/TailPowerMw"
"knobs","Power/EnergyEstimationEngine/MobileBroadband/MBBClass/4G/TxRxPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/FlushPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/LargeRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/LargeRandomWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/LargeSequentialReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/LargeSequentialWritePowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/SmallRandomReadPowerMw"
"knobs","Power/EnergyEstimationEngine/Storage/StorageType/HDD/ActivePowerParameters/SmallRandomWritePowerMw"
