"Name","PSChildName"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AboveLock\AllowActionCenterNotifications","AllowActionCenterNotifications"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AboveLock\AllowCortanaAboveLock","AllowCortanaAboveLock"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AboveLock\AllowToasts","AllowToasts"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\Accounts\AllowAddingNonMicrosoftAccountsManually","AllowAddingNonMicrosoftAccountsManually"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\Accounts\AllowMicrosoftAccountConnection","AllowMicrosoftAccountConnection"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\Accounts\AllowMicrosoftAccountSignInAssistant","AllowMicrosoftAccountSignInAssistant"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\Accounts\DomainNamesForEmailSync","DomainNamesForEmailSync"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\ActiveXControls\ApprovedInstallationSites","ApprovedInstallationSites"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AllowAppHVSI","AllowAppHVSI"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AllowCameraMicrophoneRedirection","AllowCameraMicrophoneRedirection"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AllowPersistence","AllowPersistence"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AllowVirtualGPU","AllowVirtualGPU"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AppHVSIClipboardFileType","AppHVSIClipboardFileType"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\PolicyManager\default\AppHVSI\AppHVSIClipboardSettings","AppHVSIClipboardSettings"
